org_code,eng_org,chn_org,eng_abbr,comment,
fme,Elizabethkingia meningosepticum,脑膜炎败血伊丽莎白杆菌,E.meningosepticum,
fne,Fusobacterium necrophorum ss. necrophorum,坏死梭杆菌,,
fnu,Fusobacterium nucleatum ss. Nucleatum,具核梭杆菌,,
fod,Myroides odoratum,香味菌属,M.odoratum,
fu-,Fusobacterium sp.,梭菌属,,
fus,Fusarium sp.,镰刀菌属,Fusarium sp.,
geo,Geotrichum sp.,地丝菌属,Geotrichum sp.,
gmo,Gemella morbillorum,麻疹孪生球菌,,
gva,Gardnerella vaginalis,阴道加德纳菌,,
hin,Haemophilus influenzae,流感嗜血杆菌,H.influenzae,
hpi,Haemophilus parainfluenzae,副流感嗜血杆菌,H.parainfluenzae,
hpy,Helicobacter pylori,幽门螺杆菌,H.pylori,
kkr,Kocuria kristinae,克氏库克菌,,
kor,Raoultella ornitholytica,解鸟氨酸拉乌尔菌,,
kox,Klebsiella oxytoca,产酸克雷伯菌,K.oxytoca,
koz,Klebsiella pneumoniae ss. ozaenae,肺炎克雷伯菌臭鼻亚种,K.pneumoniae ss.ozaenae,
kpl,Raoultella planticola,植生拉乌尔菌,R.planticola,
kpn,Klebsiella pneumoniae ss. pneumoniae,肺炎克雷伯菌,K.pneumoniae,
kva,Kocuria varians,变异库克菌,,
lad,Leclercia adecarboxylata,非脱羧勒菌,L.adecarboxylata,
lap,Lactobacillus acidophilus,嗜酸乳酸杆菌,,
lmo,Listeria monocytogenes,产单核李斯特菌,L.monocytogenes,
mab,Mycobacterium chelonae ss. abscessus,,,
met,Methanobacterium sp.,甲烷细菌属,Methanobacterium sp.,
mic,Micrococcus sp.,微球菌属,Micrococcus sp.,
mlu,Micrococcus luteus,藤黄微球菌,M.luteus,
mmo,Morganella morganii ss. morganii,摩氏摩根菌,M.morganii,
mmu,Mobiluncus mulieris,羞怯动弯杆菌,M.mulieris,
mos,Moraxella osloensis,奥斯陆莫拉菌,,
nfa,,皮疽奴卡菌,,
ngo,Neisseria gonorrhoeae,淋病奈瑟菌,,
nme,Neisseria meningitidis,脑膜炎奈瑟菌,,
nor,Normal flora,正常菌群,,
nsi,Neisseria sicca,干燥奈瑟球菌,,
oan,Ochrobactrum anthropi,人苍白杆菌,O.anthropi,
pae,Pseudomonas aeruginosa,铜绿假单胞菌,P.aeruginosa,
pam,Pasteurella multocida,多杀巴斯德菌,Pasteurella multocida,
pan,Pantoea sp.,泛菌属,,
pce,Burkholderia cepacia,洋葱伯克霍尔德菌,B.cepacia,
pen,,青霉属,,
pes,Peptostreptococcus anaerobius,厌氧消化链球菌,,
pfl,Pseudomonas fluorescens,荧光假单胞菌,P.fluorescens,
pgr,Propionibacterium granulosum,颗粒丙酸杆菌,,
pma,Stenotrophomonas maltophilia,嗜麦芽窄食单胞菌,S.maltophilia,
pme,,门多萨假单胞菌,,
pmg,Finegoldia magna,大芬戈尔德菌,,
pmi,Proteus mirabilis,奇异变形杆菌,P.mirabilis,
ppe,Proteus penneri,彭氏变形杆菌,P.penneri,
ppi,Ralstonia pickettii,皮氏罗尔斯顿菌,R.pickettii,
pps,Staphylococcus saccharolyticus,解糖葡萄球菌,,
ppu,Pseudomonas putida,恶臭假单胞菌,P.putida,
pr-,Proteus sp.,变形菌属,Proteus sp.,
pre,Proteus rettgeri,雷氏变形杆菌,P.rettgeri,
pro,Propionibacterium acnes,痤疮丙酸杆菌,,
prt,Prevotella sp.,普雷沃菌属,,
pst,Providencia stuartii,斯氏普罗威登斯菌,P.stuartii,
pvu,Proteus vulgaris,普通变形杆菌,,
pwi,Prototheca wickerhamii,魏氏原壁菌,P.wickerhamii,
ral,,罗尔斯顿菌,,
rhi,,根霉属,,
sab,Salmonella Paratyphi B,乙型副伤寒沙门菌,,
sai,Staphylococcus auricularis,耳葡萄球菌,S.auricularis,
saj,Abiotrophia adiacens,贫氧颗粒链菌,A.adiacens,
sal,Salmonella sp.,沙门菌属,,
sam,Salmonella Typhimurium,鼠伤寒沙门菌,,
san,Streptococcus anginosus,咽峡炎链球菌,S.anginosus,
sap,Staphylococcus saprophyticus,腐生葡萄球菌,S.saprophyticus,
sas,Scedosporium apiospermum,尖端赛多孢子菌,Scedosporium apiospermum,
sau,Staphylococcus aureus ss. Aureus,金黄色葡萄球菌,S.aureus,
sca,Staphylococcus capitis ss. capitis,头状葡萄球菌,S.capitis,
sce,,酿酒酵母菌,,
scg,Staphylococcus chromogenes,产色葡萄球菌,,
scn,"Staphylococcus, coagulase negative",凝固酶阴性葡萄球菌,S.coagulase negative,
scp,Staphylococcus caprae,山羊葡萄球菌,,
sct,,星座链球菌星座亚种,,
sdf,Abiotrophia defectiva,缺陷乏养菌,,
sdy,Streptococcus dysgalactiae ss. Dysgalactiae,停乳链球菌,,
sep,Staphylococcus epidermidis,表皮葡萄球菌,S.epidermidis,
sfo,Serratia fonticola,居泉沙雷菌,,
sgc,Streptococcus agalactiae,无乳链球菌,S.agalactiae,
sgl,Staphylococcus gallinarum,鸡葡萄球菌,,
sgo,Streptococcus gordonii,格氏链球菌,S.gordonii,
sgu,Streptococcus parasanguinis,副溶血链球菌,,
sgy,Streptococcus gallolyticus,解没食子酸链球菌,S.gallolyticuss,
shb,Shigella flexneri,福氏志贺菌,,
shl,Staphylococcus haemolyticus,溶血葡萄球菌,S.haemolyticus,
sho,Staphylococcus hominis ss. hominis,人葡萄球菌,S.hominis,
sin,Streptococcus intermedius,中间链球菌,S.intermedius,
sle,sciuri葡萄球菌,葡萄球菌,,
slq,Serratia liquefaciens,居泉沙雷菌,S.liquefaciens,
slu,Staphylococcus lugdunensis,路邓葡萄球菌,S.lugdunensis,
sly,Streptococcus alactolyticus,非解乳糖链球菌,S.alactolyticus,
sma,Serratia marcescens,粘质沙雷菌,S.marcescens,
sml,Sphingobacterium multivorum,多食鞘氨醇杆菌,S.multivorum,
smt,Streptococcus mitis,缓症链球菌,S.mitis,
sol,Streptococcus oralis,口腔链球菌,,
spa,Sphingomonas paucimobilis,少动鞘氨醇单胞菌,S.paucimobilis,
spf,Shewanella putrefaciens,腐败希瓦菌,S.putrefaciens,
spn,Streptococcus pneumoniae,肺炎链球菌,S.pneumoniae,
spp,Streptococcus pleomorphus,多形链球菌,,
ssa,Streptococcus salivarius,唾液链球菌,S.salivarius,
ssi,Staphylococcus simulans,模仿葡萄球菌,S.simulans,
ssn,Streptococcus sanguinis,血红链球菌 ,S.sanguinis,
ssr,Staphylococcus sciuri ss. sciuri,松鼠葡萄球菌,,
stc,,科氏葡萄球菌科氏亚种,,
str,Streptococcus sp.,链球菌属,,
sul,Staphylococcus cohnii ss. urealyticum,科氏葡萄球菌解脲亚种,S.cohnii ss. urealyticum,
svi,"Streptococcus viridans, alpha-hem.",草绿色链球菌,"S.viridans, alpha-hem.",
swa,Staphylococcus warneri,沃氏葡萄球菌,S.warneri,
sxy,Staphylococcus xylosus,木糖葡萄球菌,S.xylosus,
tas,Trichosporon asahii,阿萨希毛孢子菌,T.asahii,
tca,Candida famata,无名假丝酵母,C.famata,
tca,Candida famata,无名假丝酵母菌,,
uur,Ureaplasma urealyticum,解脲支原体,U.urealyticum,
xab,No anaerobes found,未生长厌氧菌,,
xcd,No C. difficile found,未生长难辨梭菌,,
xep,No enteric pathogens found,未生长沙门志贺菌,,
xfu,No fungi found,未生长真菌,,
xhp,,未生长幽门螺杆菌,,
xmp,,未生长支原体,,
xmy,No mycobacteria found,未生长分枝杆菌,,
xxx,No growth,未生长细菌,,
yea,,酵母菌,,
